観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの7月の1位の値(mm),昨日までの7月の1位の値の品質情報,昨日までの7月の1位の値の年,昨日までの7月の1位の値の月,昨日までの7月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,うんち,7,3,9,40,0,8,0,4,,,,,,45,8,1996,8,18,37,8,2000,7,15,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2023,7,3,9,40,0,8,0,4,,,,,,64,8,1938,9,1,37.8,8,1958,7,29,1938
11046,北海道 宗谷地方,礼文（レブン）,,2023,7,3,9,40,0,8,0.5,4,2,28,4,,,50.5,8,2020,8,7,23.5,8,2017,7,11,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2023,7,3,9,40,0,8,0,4,,,,,,46,8,2010,9,20,37,8,2019,7,27,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2023,7,3,9,40,0,8,0,4,,,,,,50,8,2013,8,24,28.5,8,2012,7,31,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2023,7,3,9,40,0,8,0,4,,,,,,51.5,8,2020,10,3,19.5,8,2017,7,11,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2023,7,3,9,40,0,8,0,4,,,,,,67.5,8,2021,10,4,38,8,2012,7,31,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2023,7,3,9,40,0,8,0.5,4,9,30,4,,,44,8,2006,10,19,30.5,8,2017,7,11,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2023,7,3,9,40,0,8,0.5,4,6,2,4,,,47.5,8,2019,7,27,47.5,8,2019,7,27,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2023,7,3,9,40,0,8,0,4,,,,,,45,8,2021,10,4,30,8,2000,7,25,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2023,7,3,9,40,0,8,0,4,,,,,,42,8,1999,8,22,31.5,8,2019,7,19,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2023,7,3,9,40,0,8,0.5,4,9,11,4,,,42.5,8,2010,9,6,36,8,1996,7,30,1942
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2023,7,3,9,40,0,8,0,4,,,,,,43,8,2000,10,8,27.5,8,2010,7,28,1976
13011,北海道 宗谷地方,幌延（ホロノベ）,,2023,7,3,9,40,0,8,0.5,4,7,59,4,,,40,8,2006,9,29,35,8,2019,7,27,2006
12011,北海道 上川地方,中川（ナカガワ）,,2023,7,3,9,40,0,8,0,4,,,,,,47.5,8,2015,8,14,39.5,8,2010,7,28,1977
12041,北海道 上川地方,音威子府（オトイネップ）,,2023,7,3,9,40,0,8,0,4,,,,,,56.5,8,2019,7,19,56.5,8,2019,7,19,1978
12066,北海道 上川地方,小車（オグルマ）,,2023,7,3,9,40,0,8,0,4,,,,,,55,8,2023,6,29,42.5,8,2009,7,24,2006
12141,北海道 上川地方,美深（ビフカ）,,2023,7,3,9,40,0,8,0.5,4,8,6,4,,,46,8,2006,7,18,46,8,2006,7,18,1976
12181,北海道 上川地方,名寄（ナヨロ）,,2023,7,3,9,40,0,8,0.5,4,7,12,4,,,52,8,2017,7,10,52,8,2017,7,10,1976
12217,北海道 上川地方,西風連（ニシフウレン）,,2023,7,3,9,40,0,8,0,4,,,,,,43,8,2011,9,2,42,8,2017,7,16,2006
12231,北海道 上川地方,下川（シモカワ）,,2023,7,3,9,40,0,8,0,4,,,,,,43.5,8,2012,7,5,43.5,8,2012,7,5,1976
12256,北海道 上川地方,剣淵（ケンブチ）,,2023,7,3,9,40,0,8,0,4,,,,,,53,8,2016,7,31,53,8,2016,7,31,2006
12261,北海道 上川地方,士別（シベツ）,,2023,7,3,9,40,0,8,0,4,,,,,,72,8,2015,8,14,38.5,8,2009,7,24,1976
12266,北海道 上川地方,朝日（アサヒ）,,2023,7,3,9,40,0,8,0,4,,,,,,53.5,8,2012,7,31,53.5,8,2012,7,31,1976
12301,北海道 上川地方,和寒（ワッサム）,,2023,7,3,9,40,0,8,0,4,,,,,,45,8,1984,7,16,45,8,1984,7,16,1977
