観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),21日の最大値(m/s),21日の最大値の品質情報,21日の最大値観測時の風向,21日の最大値観測時の風向の品質情報,21日の最大値起時（時）,21日の最大値起時（分）,21日の最大値起時の品質情報,極値更新,10年未満での極値更新,20日までの観測史上1位の値(m/s),20日までの観測史上1位の値の品質情報,20日までの観測史上1位の値観測時の風向,20日までの観測史上1位の値観測時の風向の品質情報,20日までの観測史上1位の値観測時の年,20日までの観測史上1位の値観測時の月,20日までの観測史上1位の値観測時の日,20日までの2月の1位の値（m/s）,20日までの2月の1位の値の品質情報,20日までの2月の1位の値観測時の風向,20日までの2月の1位の値観測時の風向の品質情報,20日までの2月の1位の値観測時の年,20日までの2月の1位の値観測時の月,20日までの2月の1位の値観測時の日,統計開始年
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2024,02,21,09,00,23.2,4,西北西,4,05,37,4,,,42.5,8,西,8,2019,01,16,38.8,8,西南西,8,2021,02,16,2008
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2024,02,21,09,00,15.7,4,西,4,01,08,4,,,44.9,8,西南西,8,1995,11,08,34.8,8,北北西,8,1969,02,06,1940
11046,北海道宗谷地方,礼文（レブン）,,2024,02,21,09,00,15.0,4,西,4,03,56,4,,,39.7,8,南西,8,2015,10,02,32.7,8,西南西,8,2018,02,24,2008
11061,北海道宗谷地方,声問（コエトイ）,,2024,02,21,09,00,17.5,4,西北西,4,02,07,4,,,41.7,8,南西,8,2015,10,02,32.4,8,西南西,8,2021,02,16,2009
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2024,02,21,09,00,14.1,4,西南西,4,03,21,4,,,33.4,8,西南西,8,2021,02,16,33.4,8,西南西,8,2021,02,16,2008
11091,北海道宗谷地方,本泊（モトドマリ）,,2024,02,21,09,00,15.4,4,西北西,4,01,39,4,,,43.7,8,南西,8,2015,10,02,35.0,8,西南西,8,2018,02,24,2009
11121,北海道宗谷地方,沼川（ヌマカワ）,,2024,02,21,09,00,9.3,4,西,4,01,36,4,,,32.4,8,南南西,8,2015,10,02,23.8,8,南西,8,2018,02,24,2009
11151,北海道宗谷地方,沓形（クツガタ）,,2024,02,21,09,00,15.0,4,西北西,4,00,05,4,,,36.0,8,南南西,8,2015,10,02,28.5,8,北,8,2022,02,21,2008
11176,北海道宗谷地方,豊富（トヨトミ）,,2024,02,21,09,00,11.1,4,西北西,4,02,31,4,,,31.6,8,南南西,8,2015,10,02,28.6,8,西南西,8,2018,02,24,2008
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2024,02,21,09,00,8.6,4,西南西,4,04,26,4,,,30.7,8,南南西,8,2015,10,02,25.0,8,南西,8,2018,02,24,2008
